No,target_month,customer_id,customer_disp_name,balance_money,sales_money,credit_money,first_balance_money,other
304,201306,,株式会社旬,31500,31500,0,0,
305,201306,,株式会社ヨシエ・ママ,32445,32445,0,0,
306,201306,,株式会社リタテイーノ,33600,0,0,33600,
307,201306,,株式会社三和,34650,8400,0,26250,
308,201306,,株式会社味吉兆,34650,34650,5250,5250,
309,201306,,株式会社ドゥ・ラマーレ,36750,0,0,36750,
310,201306,,株式会社渡辺ハゲ天,39900,50400,21000,10500,
311,201306,,セーレン株式会社,40425,40425,118440,118440,
312,201306,,株式会社ダスキン,40950,40950,0,0,
313,201306,,株式会社レガルト,47250,47250,0,0,
314,201306,,株式会社コンパル,47250,47250,114660,114660,
315,201306,,株式会社ヒューマンウェブ,50400,50400,0,0,
316,201306,,吉田産業株式会社,51240,0,0,51240,
317,201306,,アクアレール,57750,0,0,57750,
318,201306,,株式会社めん楽,68250,68250,68250,68250,
319,201306,,株式会社ゼロディグリーズジャパン,70559,70559,0,0,
320,201306,,株式会社草津亭,78225,97650,57750,38325,
321,201306,,株式会社津乃吉,88200,88200,0,0,
322,201306,,株式会社遊心クリエイション,105000,105000,0,0,
323,201306,,株式会社フーリッシュ,107625,107625,0,0,
324,201306,,カワノ株式会社,115080,50400,0,64680,
325,201306,,東レ・アムテックス株式会社,160650,60900,66150,165900,
326,201306,,東方一永株式会社,326550,0,0,326550,
327,201306,,クリスタ長堀,349647,349647,20314,20314,
328,201306,,イオンマーケット株式会社,1211016,1211016,0,0,
